commitMsg,changeType,bugFix,featureAddition,performanceImprovement
"[ml] make trained model rest apis cancellable (#88009)          this change makes all the trained model apis cancellable, and addresses the handful of apis that rely on our abstract resource structure.          closes: #87931","[0, 0, 0, 0, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 20, 0, 0, 72, 0]",0,0,1
add missing logstash timestamp mapping (#87927)          ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"[ml] rebalance should not notify listener before update is applied (#88012)          when we are rebalancing trained model assignments, we eventually     update cluster state with the new metadata. we only want to     notify the listener after we have applied the cluster state update.     this commit fixes a bug where we could notify before the update     was actually applied resulting in npe when writing the response     of the `createtrainedmodelassignmentaction`.          this is a fix following the work done in #87366.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",1,0,0
"remove tasklistener interface (#87637)          `tasklistener` is almost always a trivial wrapper around an     `actionlistener`. there's a couple of places where that's not true, it     reports the task id in a log message, but these logging effects can be     achieved in other ways which don't require polluting various widely-used     apis so much.          this commit replaces all usages of `tasklistener` with `actionlistener`,     reworking the logging effects, and removing the now-unnecessary     overrides.          relates #86765 in that this commit simplifies some of the apis that     #86765 will need to adjust.","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 2, 9, 0, 0, 7, 0]",1,1,1
"speed up synthetic keyword, ip, and text fields (#87930)          this speeds up synthetic source, especially when there are many fields     in the index that are declared in the mapping but don't have values.     this is fairly common with ecs, and the tsdb rally track uses that. and     this improves fetch performance of that track:     ```     |  50th percentile service time |    default |   6.24029 |  4.85568 | ms | -22.19% |     |  90th percentile service time |    default |   7.89923 |  6.52069 | ms | -17.45% |     |  99th percentile service time |    default |  12.0306  | 16.435   | ms | +36.61% |     | 100th percentile service time |    default |  14.2873  | 17.1175  | ms | +19.81% |     |  50th percentile service time | default_1k | 158.425   | 25.3236  | ms | -84.02% |     |  90th percentile service time | default_1k | 165.46    | 30.8655  | ms | -81.35% |     |  99th percentile service time | default_1k | 168.954   | 33.3342  | ms | -80.27% |     | 100th percentile service time | default_1k | 174.341   | 34.8344  | ms | -80.02% |     ```          there's a slight increase in the 99th and 100th percentile service time     for fetching ten document which think is unlucky jitter. hopefully. the     average performance of fetching ten docs improves anyway so i think     we're ok. fetching a thousand documents improves 80% across the board     which is lovely.          this works by doing three things:     1. teach the `leaf` layer of source loader to detect when the field is     empty in that segment and remove it from the synthesis process     entirely. this brings most of the speed up in tsdb.     2. replace `hasvalue` with a callback when writing the first value.     `hasvalue` was resulting in a 2^n-like number of calls that really     showed up in the profiler.     3. replace the `arraylist` of leaf loaders with an array. before fixing     the other two issues the `arraylist`'s iterator really showed up in     the profiling. probably much less worth it now, but it's small.          all of this brings synthetic source much closer to the fetch performance     of standard _source:     ```     |  50th percentile service time | default_1k |  11.4016  | 25.3236  | ms | +122.11% |     |  90th percentile service time | default_1k |  13.7212  | 30.8655  | ms | +124.95% |     |  99th percentile service time | default_1k |  15.8785  | 33.3342  | ms | +109.93% |     | 100th percentile service time | default_1k |  16.9715  | 34.8344  | ms | +105.25% |     ```          one important thing, these perf numbers come from fetching *hot* blocks     on disk. they mostly compare cpu overhead and not disk overhead.     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0]",1,0,0
"[tsdb] simplify the rollup action (#87981)          this pr changes the _rollup action so that it will only create the rollup index.     tasks such index swap in the data stream and source index deletion will not be     handled by the rollup action. instead, those actions will be taken care of by the     rollup ilm.          those changes make rollup behavior more consistent with similar operations     such as shrink or snapshot.     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0,1,1
fix unique realm name check to cover default realms (#87999)          all enabled realms must have unique names. this pr tightened the logic     for ensuring realm name uniqueness. previously the unique name check     does not cover realms that are automatically enabled.          relates: #69096,"[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 4, 0, 0, 1, 0]",1,0,0
"[transform] execute _refresh separately from dbq, with system permissions. (#88005)          ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,0,1
[ml] add logging to the model deployments rolling upgrade test (#87982)          to debug the failure in #87959.          ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"[ml] use normalized memory in bin packing node prioritization (#87925)          this commit fixes a bug in the `linearprogrammingplansolver`     used for distributing model allocations. when we are doing the     initial bin-packing, we should be using normalized memory     as a factor. instead, we were using actual memory which would     dominate the heuristic and result in always prioritize the     largest nodes in terms of memory and completely disregard existing     allocations.          the linear solver would still provide a good solution most of     the times but in some edge cases we'd end up with a bad solution.     this commit adds a test with an edge case like this.          in addition, we improve the `assignmentplanner` by trying out     both approaches (1. preserve one allocation per assignment,     2. preserve all allocations) when the first try does not give     a result that satisfies all models.","[0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 0]",1,0,0
simplify resize deciders (#87958)          this change pulls up checks and removes code duplication to make those     two deciders slightly cheaper.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 4, 0]",0,1,1
"use hashmap in admin get actions (#87938)          actions for getting aliases, indices, and settings all return a map. yet     internally these unnecessarily immutableopenmap. this commit converts     these actions to use hashmap.          relates #86239","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 13, 0]",1,1,1
"remove legacy bootstrap plugins (#87775)          bootstrap plugins were an internal mechanism added to allow a     filesystemprovider for cloud with the quota-aware-fs plugin. since that     was removed, bootstrap plugins no longer serve a purpose. they were     never officially documented because they were for internal use only.     this commit removes the bootstrap plugins infrastructure.","[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 0, 0, 0, 0, 0, 0, 30, 5, 1, 1, 49, 0]",0,0,1
"cache notice generation tasks (#87991)          this commit makes the noticetask cacheable. although it is not that     expensive (a few seconds), it's worth it overall.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"consolidate startup before security manager into phase 2 (#87941)          this commit introduces a second phase of startup. it consists of     evertying after logging, but before security manager is initialized.     this is for things that require security manager permissions that we do     not want to grant for the lifetime of the process.","[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0]",0,0,1
[docs]fix priorities typo in cluster state task config. (#87824)          fix priorities typo in cluster state task config.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
"correctly pre-size hashsets (#87700)          the hashset(int) constructor accepts the capacity of the set rather than its size. unfortunately, hashset requires n/0.75 capacity to hold n elements. so, if we call new hashset(n) to hold n elements, the map will be too small and need to be     resized/rehashed midway.          we add a new methods sets.newhashsetwithexpectedsize and sets.newlinkedhashsetwithexpectedsize that calculate the correct capacity for the specified expected size.          see          * https://bugs.openjdk.org/browse/jdk-8284975     * https://bugs.openjdk.org/browse/jdk-8287419     * https://github.com/openjdk/jdk/pull/8302","[0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0]",0,0,1
test fix: disable healthnode in metadataindextemplateservicetests (#87967)          ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
prevent migration of system indices that match templates (#87933)          ,"[0, 0, 0, 0, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 7, 0]",0,0,1
"improve console exception messages (#87942)          this commit improves upon the recent console exception logging isolation     to emit more than just the exception message. the exception class is     also printed, as well as up to the first 5 elements of the stack. the     stack trace is a hint, and can often be enough, yet the full stack trace     (or a truncated version if a guice exception) will still exist in the     logs. addtionally, unit tests are added.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"batch ilm move to retry step task update (#86759)          this one was still unbatched, same appraoch to making it batched as with the other step update tasks.          co-authored-by: joe gallo <joe.gallo@elastic.co>","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0,0,1
run transportclusterinfoactions on management pool (#87679)          today subclasses of `transportclusterinfoaction` execute     `masteroperation` on `same` which often means a transport worker. this     includes nontrivial things like decompressing mappings in     `transportgetmappingsaction` and `transportgetindexaction` (if a field     filter is specified) and iterating over index settings and aliases in     `transportgetindexaction`.          this commit moves this work to the `management` threadpool instead.,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 0, 0, 1, 0]",0,1,0
fix stablemasterhealthindicatorservicetests and `start-slm` doc test (#87962)          ,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0]",1,0,0
"[ml] include authorization info in responses when creating jobs (#87950)          https://github.com/elastic/elasticsearch/pull/87884 added     authorization information to the datafeed and data frame     analytics job configs returned by listing them, but not to     the ones returned from creating or updating them. for     consistency it's best that the same fields are present in     both places.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 21, 0]",0,0,1
add start slm user action (#87854)          this creates a user action for the slm health indicator that will help     the user to start slm.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,0,1
add help guide to the contat support user action (#87689)          ,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,1
add user action for repository_integrity indicator (#87920)          ,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]",0,0,1
create ilm not running user action (#87852)          this creates a user action for the ilm health indicator that will help     the user to start ilm.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",1,1,1
"more compact serialization of shardstats (#87627)          the two paths are almost always the same, we can serialize     them only once to reduce memory consumption for shard stats     request handling on the coordinating node.","[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0]",0,0,1
add support for version field type in sql and eql (#87590)          ,"[0, 0, 0, 0, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 5, 0, 5, 0]",0,0,1
"move knn search and dense vectors to core (#87815)          this pr moves knn search and dense vector support out of an xpack plugin and     into server.          in #87625 we plan to integrate ann search into the main `_search` endpoint as a     new top-level component called `knn`. so knn will be a dedicated part of the     search request, and we'll have knn logic within the search phases. the classes     and logic will live in server, matching the other search components like     suggesters, field collapsing, etc.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",0,1,0
"support removing ignore filters for audit logging (#87675)          ignore filters of audit logging can be configured with the cluster     settings apis. while adding new filters work correclty, removing     filters does not work until node restart due to a bug (#68588). this pr     fixes the bug by correctly remove the ignore filter when all rules of a     filtering policy is set to null.          resolves: #68588","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,0,0
use azul zulu jdk8 distribution instead of adoptium/openjdk on macos with apple silicon (#87733)          ,"[0, 0, 0, 0, 3, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 0]",1,1,1
"adding additional capability to the master_is_stable health indicator service (#87482)          this builds on #86524 by supporting two additional conditions, both of which happen when there has been     no elected master for more than 30 seconds (from the queried node's point of view), and both of which return     a red status:     (1) there are no master-eligible nodes found in the cluster     (2) the node being queried sees a master-eligible node that has been elected the master, but cannot join it","[0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 1, 0, 0, 4, 0]",0,0,1
fixing a bug in testyellowwithtoomanymasterchanges (#87865)          ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,0,0
"fix rest example plugin (#87923)          this is a followup to     https://github.com/elastic/elasticsearch/pull/87504, to fix the example     plugin that used bytesrestresponse.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,0,0
"speed up synthetic source (#87882)          this speeds up synthetic source, especially when there are many fields     in the index that are declared in the mapping but don't have values.     this is fairly common with ecs, and the tsdb rally track uses that. and     this improves fetch performance of that track:          ```     |  50th percentile service time |    default |   6.24029 |  4.85568 | ms | -22.19% |     |  90th percentile service time |    default |   7.89923 |  6.52069 | ms | -17.45% |     |  99th percentile service time |    default |  12.0306  | 16.435   | ms | +36.61% |     | 100th percentile service time |    default |  14.2873  | 17.1175  | ms | +19.81% |     |  50th percentile service time | default_1k | 158.425   | 25.3236  | ms | -84.02% |     |  90th percentile service time | default_1k | 165.46    | 30.8655  | ms | -81.35% |     |  99th percentile service time | default_1k | 168.954   | 33.3342  | ms | -80.27% |     | 100th percentile service time | default_1k | 174.341   | 34.8344  | ms | -80.02% |     ```          there's a slight increase in the 99th and 100th percentile service time     for fetching ten document which think is unlucky jitter. hopefully. the     average performance of fetching ten docs improves anyway so i think     we're ok. fetching a thousand documents improves 80% across the board     which is lovely.          this works by doing three things: 1. teach the `leaf` layer of source     loader to detect when the field is    empty in that segment and remove     it from the synthesis process    entirely. this brings most of the speed     up in tsdb. 2. replace `hasvalue` with `advancetodoc` returning     `boolean` and     cache the result. 3. replace the `arraylist` of leaf     loaders with an array. before fixing    the other two issues the     `arraylist`'s iterator really showed up in    the profiling. probably     much less worth it now, but it's small.          all of this brings synthetic source much closer to the fetch performance     of standard _source:          ```     |  50th percentile service time | default_1k |  11.4016  | 25.3236  | ms | +122.11% |     |  90th percentile service time | default_1k |  13.7212  | 30.8655  | ms | +124.95% |     |  99th percentile service time | default_1k |  15.8785  | 33.3342  | ms | +109.93% |     | 100th percentile service time | default_1k |  16.9715  | 34.8344  | ms | +105.25% |     ```          one important thing, these perf numbers come from fetching *hot* blocks     on disk. they mostly compare cpu overhead and not disk overhead.          ![image](https://user-images.githubusercontent.com/215970/174795592-dae78e69-4871-4698-911c-fb559eb5a78a.png)","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]",1,0,0
"more tests for filter-by-filter fast paths (#87857)          this adds some more tests for the filter-by-filter execution mechanism     for `terms` and `date_histogram` around the `fast path` that it can take     when we can use the lucene `weight#count` method. specifically, this     fixes some flakiness in a test when some segments can't take the fast     path. and it adds a new test where all segments can take the fast path     even though there is a filter - but the filter matches all documents.     finally, it fixes another flaky test that assumed there was always a     single segment.          closes #87722","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",1,0,0
add force_synthetic_source to mget (#87574)          this adds the option to force synthetic source to the mget api. see     #87068 for more discussion on why you'd want to do that - the short     version is to get an upper bound on the performance cost of using     synthetic source in mget.     ,"[0, 0, 0, 0, 7, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 23, 0, 0, 2, 0]",0,0,1
"[ml] improve scalability of nlp models (#87366)          we can improve a model's latency and throughput by using more     threads for each inference request. we can also improve its     throughput by processing multiple inference requests in parallel.     a user can set the model's `number_of_allocations` and `threads_per_allocation`     settings to increase performance.     however, if we use more threads than the node's allocated processors,     we end up with thread oversubscription and performance deteriorates throughout.          this commit changes the way model allocations are distributed across the     ml nodes of the cluster. up to now, we were trying to allocate each model     on every node. now, we make use of the `assignmentplanner` class introduced     in #86004 in order to compute an assignment plan that distributes model     allocations across the cluster while we maximize the number of allocations     we provide to each model without oversubscribing the nodes' cpu.","[1, 0, 0, 0, 38, 9, 4, 1, 0, 2, 0, 10, 8, 2, 1, 19, 3, 1, 0, 0, 1, 8, 9, 11, 1, 3, 7, 0, 0, 0, 0, 0, 0, 0, 15, 2, 0, 0, 0, 2, 0, 0, 117, 91, 2, 6, 159, 0]",1,1,1
fix failure on geoshapequerytestcase#testrandomgeocollectionquery (#87916)          use the safer geometrytestutils instead of lucene geotestutil to generate random polygons.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
cleanup indirection in batch close utils (#87685)          some of these show up in profiling of heavy transport load.     it's not a big thing but it's always nice to save a few cycles     on transport threads.,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 21, 0, 2, 3, 0]",0,0,1
fix compilation     ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
cleanup dead code in o.e.common (round 2) (#87825)          another 500+ loc of simple deletes.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,0,1
add high level java docs to desirednodes (#87875)          ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"use desired nodes during data tier allocation decisions  (#87735)          today when the datatierallocationdecider checks if a shard can be allocated     in a node or not it uses the current cluster topology. this works fine in most cases     when the data flows from hotter to colder data nodes as it was designed. but     in certain situations users might want to remove a tier (i.e. the cold tier) that     allows having shards in hotter tiers, but with the current implementation once     a shard is allocated into the highest preference tier and there are nodes of that     tier, the shard won't move. this commit introduces a change that allows to use     the desired nodes (when available) to compute the preferred tier based on the     cluster topology provided by the desired nodes (only taking into account desired     nodes that are in actualized status).","[0, 0, 0, 0, 32, 5, 0, 2, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 38, 58, 0, 2, 23, 0]",1,1,1
"remove keystore v1 and v2 formats (#87893)          the keystore format has been changed a few times since it was first     introduced. part of elasticsearch startup automatically upgrades the     format. since elasticsearch has fixed bounds of supported versions for     upgrades, there are also fixed bounds on the keystore formats we might     need to read.          the v3 keystore format was introduced in elasticsearch 6.3.0. since     current elasticsearch master branch is 8.x, and 8.x only supports     offline upgrades from 7.x, it is therefore impossible to need to read     v1 or v2 formats. this commit removes support for those formats.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
use hashmap inside cluster info service (#87899)          the internalclusterinfoservice internally uses immutableopenmap     for keeping track of available space on each node. this commit converts     those usages to use hashmap. note that an unmodifiablemap wrapper is     used because updates to this (from each node) are likely to happen often     as disk is used.          relates #86239,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 0]",1,1,1
"revert `simplify adding dynamic sub-fields to their dynamic parent object (#87866)`          this reverts commit 73b0273f4d83797fd364405bd2c420c7aee323bd (#87866) as an unexpected percolator test failure has surfaced, which did not surface as part of the pr tests run.     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
