commitMsg,changeType,bugFix,featureAddition,performanceImprovement
"Merge `Treat allowlists differently for flattened apex` am: 94651571bc          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2105512          Change-Id: I26f0cf634a93d1f6fe14dbf3e1d96b27b0c70014     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Treat allowlists differently for flattened apex`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Update ASM usage to ASM9` am: 24fbdff6a0          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2104644          Change-Id: Ie51315d31f67b7385ccffd3ef90c4b152b0b5740     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Update ASM usage to ASM9`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Treat allowlists differently for flattened apex          On devices which use flattened APEX, treat the allowlists as part of the     system image.          Test: m # lunch wembley_2GB-userdebug     Bug: 221862988     Change-Id: I1971a686aa111b396f9e694a74be70d758078423     Merged-In: I1971a686aa111b396f9e694a74be70d758078423     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","1","1","1"
"Traffic descriptor only data profile should be enabled          If a data profile only contains traffic descriptor, and has no     APN setting, it should be considered enabled.          Fix: 233557423     Test: Manual + atest DataProfileTest     Merged-In: Ied26cbba3bde8491bfd6299a2724fc2c5b26c026     Change-Id: Ied26cbba3bde8491bfd6299a2724fc2c5b26c026     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","1","1","1"
"Merge `Updating nativeAsyncTraceForTrackEnd to not require a name argument` am: fbc5263e1a          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2078718          Change-Id: I0bb1651bb4c6f86fb86a4ba923a6da06086206f8     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Updating nativeAsyncTraceForTrackEnd to not require a name argument`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Update ASM usage to ASM9          Bug: 233029164     Test: EXPERIMENTAL_TARGET_JAVA_VERSION_17=true \     EXPERIMENTAL_USE_OPENJDK17_TOOLCHAIN=true m     Change-Id: If534878b3880352ca6afea3d0cd5229e98e302bc     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Re-land `Switch file size formatters to use ICU's MeasureFormat`` am: b284c36224          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2100171          Change-Id: If922805fa8a99d154483eae30e38e007ba69f10c     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Re-land `Switch file size formatters to use ICU's MeasureFormat``","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Add null check when list directory          This change protect getPlatformFileListForPrefix from     crashing when the directory exist but cannot be listed.     This generally happens when the caller doesn't have     enough permission to list.          Test: atest CtsNetTestCases:android.net.cts.NetworkStatsManagerTest#testDataMigrationUtils     Ignore-AOSP-First: in a topic with internal-only changes     Bug: 230289468     Change-Id: I4177a8229cc9db18d76cb90c54a1b8d12ef8d98f     Merged-In: I4177a8229cc9db18d76cb90c54a1b8d12ef8d98f     (pure cherry-picked from ag/18457684)     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0]","1","1","1"
"[MS82.2] Add a rewriteSingle method that takes two timestamps          This CL provides a public method in FileRotator to     allow caller to write data to a specified standalone file.          This CL also fix a file name generatign error in platform     tools.          Test: NetworkStatsServiceTest NetworkStatsCollectionTest     Bug: 230289468     Change-Id: I17558f349cb2a33062972fe1af96a19356798692     Merged-In: I17558f349cb2a33062972fe1af96a19356798692     (pure cherry-picked from ag/18408306)     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","1","1","1"
"Merge `Fix JobStoreTest after adding defensive copy to NetworkRequest.Builder` am: 41cd5e5f0d          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2103684          Change-Id: Ic6e5146d6b80063f802e7d68da0683b3cbbd0352     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Fix JobStoreTest after adding defensive copy to NetworkRequest.Builder`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Fix JobStoreTest after adding defensive copy to NetworkRequest.Builder          JobStatus.createFromJobInfo() uses the     NetworkRequest.Builder(NetworkRequest) API, which previously failed to     create a copy of the passed NetworkRequest. This means, that up until     now, SOME_UID was not only set on the second job status, but also on the     first, as the NetworkRequest used came from first.getRequiredNetwork().          Since JobStatus changes the JobInfo object, the second JobInfo object     should be compared a a JobInfo object that has also been changed by     JobStatus in the same way.          Test: atest JobStoreTest     Bug: 233580437     Change-Id: Ic4584575e2bc092c49b7b9ecb9b115da189bdfed     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0]","1","1","1"
"Merge `Add a config to control split-screen task dimming` am: f012e83299          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2062848          Change-Id: I307cdd5926e98bf3ad8e56eb67e2c00b3a95af7c     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Add a config to control split-screen task dimming`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Revert `Persist permission state for updated apps synchronously.`` am: f3c204c6fc          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2102290          Change-Id: Id88dfb8b9774539d45fbea0f38c420cb1e022782     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Revert `Persist permission state for updated apps synchronously.``","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Revert `Persist permission state for updated apps synchronously.`          This reverts commit 36ee4c554b88a5f30fba1e0324a993cd85cd42fd.          Reason for revert: b/233170021          Change-Id: I911aaf3388dd00e33284c687aa9ddfb1bb1113bf     Merged-In: Ib26cf2940beb66bd1f74d0fcfb623f3183367f31     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 3, 4, 0]","0","1","1"
"Merge `Update the StatsPullAtomsService to accommodate RkpErrorStats.` am: e8363cd943          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2097674          Change-Id: I619e81631075e16a21886af2c1fe23005b5d4912     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Update the StatsPullAtomsService to accommodate RkpErrorStats.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","0","0"
"Merge `Print key for too long property values` am: 2ef3cee44d          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2100034          Change-Id: Id02455f0ec55104db69e498b7efb654e64e1f7ed     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Print key for too long property values`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Improve the code of handleSessionLost()` am: 6b5a4f3d37          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2097879          Change-Id: Idc2073f5423b7cac737237fde47953016311c86f     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Improve the code of handleSessionLost()`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","0"
"Merge `Do not get portInfo if physical address is 0x0000` am: d2ac8db60a          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2098817          Change-Id: I5858e6abaebc020085fc593095cd4b3540a87165     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Do not get portInfo if physical address is 0x0000`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Improve the code of handleSessionLost()          Bug: 229350078     Test: atest FrameworksNetTests:VpnTest     Change-Id: I747e119bc201123b5ee3abb9e01ca3d4183aa6e4     ","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 2, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 0, 8, 1, 0]","1","1","1"
"Print key for too long property values          In case of a too long property value in     SettingsToPropertiesMapper, only the value is printed, not     the key.          It makes sense also to print the key making it easier     to find what is causing the problem.          Change-Id: I3cef0d404037d3c515fae116752c4e73c6699b62     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","1","1","1"
"Merge `Enable MOBIKE in IKEv2 VPN` am: 089c119f4d          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2083850          Change-Id: I97d5eee9351c026e9b41dd190788365fe5745355     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Persist permission state for updated apps synchronously.` am: 6d1cecb385          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2075878          Change-Id: I376428cc56d956a93a489d2a69adb99b900a170e     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Address leftover comments of ag/18108411` am: 77a0e3da9e          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2097775          Change-Id: I029df64dd2524c702d095ff5ca41a08db2f26728     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Enable MOBIKE in IKEv2 VPN`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Persist permission state for updated apps synchronously.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Do not get portInfo if physical address is 0x0000          Bug: 232904062          Test: CtsHdmiCecHostTestCases          Change-Id: I6f2d609bda8ba659f9079406f359bdf6da58d30f     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Address leftover comments of ag/18108411`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Make binderDied(IBinder who) public API` am: dcbb21deaa          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/1916883          Change-Id: I01aa64cd8cef1042c81eab891602c93a6b294b6d     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Ensure key generation retries after remote key provisioning` am: bf73616e23          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2097382          Change-Id: I1009309d989ab07e5ff96b427957bc29cc3b3b14     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Persist permission state for updated apps synchronously.          Because if we lose the changes, an updated app won't be reconsidered for     new install permissions.          Fixes: 221899913     Test: presubmit     Change-Id: Ib82189b07cf4dfd132be37fb19843d770e871f8c     Merged-In: Ib82189b07cf4dfd132be37fb19843d770e871f8c     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 3, 4, 0]","1","1","1"
"Revert `DO NOT MERGE Suppress notifications when device enter lockdown`          This reverts commit 62845d9af7d9695d1019bd6d8b0ccb223ace52d3.          Reason for revert: b/232714129 | [C10][BootStress][reboot]reset message: KP: sysrq triggered crash by init          Change-Id: I54296e0973c8fb206acdfbf54cfa793b7cd3a902     (cherry picked from commit 04836fa17f1499d2de63f1a0dd0ad430bd5da920)     Merged-In: I54296e0973c8fb206acdfbf54cfa793b7cd3a902     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 3, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Make binderDied(IBinder who) public API`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Re-land `Switch file size formatters to use ICU's MeasureFormat`          Re-land http://ag/2443141 because the over-translation issue should be     resolved now.          Use ICU's MeasureFormat to the degree possible for formatting file     sizes.          Bug: 36994779     Bug: 71580745     Bug: 217592956     Test: atest FrameworksCoreTests:android.text     Test: atest CtsTextTestCases     Change-Id: If3416ec38cf18c0441576643bfab850148e18c8e     ","[0, 0, 0, 1, 8, 1, 5, 1, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 10, 0, 0, 4, 0]","1","1","1"
"Add a config to control split-screen task dimming          In split-screen when a task is the IME target, the other one is dimmed.     Add a config to enable/disable this functionality.          Test: Manual     Bug: 229090560     Change-Id: Id0935f1badec4620a97b8ea9826d32b94c186b98     Merged-In: If41d89744acd6dcba27085755b6cd3947ee3ad62     ","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]","1","1","1"
"Enable MOBIKE in IKEv2 VPN          This commit enables MOBIKE on the VPN's IKE Session. In this way if     the VPN server also supports MOBIKE, IKEv2 VPN can migrate to a     different network by migrating the active IKE session, instead of     setting up a new IKE Session.          This commit also adds a grace period so that when the underlying network     is lost, the IKEv2 VPN will wait for some time before terminating the     IKE Session in case a new network will be available.          Bug: 192077544     Test: atest IkeV2VpnTest (new tests added)     Test: atest com.android.server.connectivity.VpnTest     Change-Id: Ie6ef3103200fef3b7e5f00918fee9e791cad9445     ","[0, 0, 0, 0, 9, 4, 0, 1, 0, 1, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 1, 1, 3, 0]","1","1","1"
"Ensure key generation retries after remote key provisioning          Previously, the key pair generation would error out even if we     successfully provisioned attestation keys. Instead, we should retry     key generation after the GenerateRkpKeyService reports an OK status.          Bug: 231495834     Test: RemoteProvisionerUnitTests     Change-Id: I049294cbc7119de55b5de02499bf4609d4c6de5d     Merged-In: I049294cbc7119de55b5de02499bf4609d4c6de5d     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","1","1","1"
"Merge `Fix bug in Blend that did not use options.` am: 92ce74409b          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2097598          Change-Id: Ieafdd7757f2153001a439dcf015832fd528d3fef     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Update the StatsPullAtomsService to accommodate RkpErrorStats.          Bug: 230750270     Test: Local testing with statsd TestDrive script     Change-Id: Iae546b9feea1c641687d89991a19c165b58d5a72     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","1","1","1"
"Updating nativeAsyncTraceForTrackEnd to not require a name argument          Bug: 230399626     Test: atest TraceDevTest     Change-Id: Ic8f8a304f8fbb9c1bc6fbbac0e0bf5de97ce70aa     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","1","1","1"
"Update ServiceState broadcast for location permissions          Add extra checks for master location switch and location bypass packages     and send broadcasts accordingly.          Test: Verify location is sanitized using testapp     Test: Verify privacy dashboard with MLS on/off     Test: Verify location is sanitized/unsanitized with bypass list     Bug: 230919427     Bug: 210118427     Change-Id: I9784527d6d79235830f562c1944562f5a6ac1fb3     Merged-In: I9784527d6d79235830f562c1944562f5a6ac1fb3     (cherry picked from commit ac5f03c07fafe1a9d5dba89737297da7c74214cf)     Merged-In: I9784527d6d79235830f562c1944562f5a6ac1fb3     ","[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 0, 4, 4, 0]","1","1","1"
